"STATE","COUNTY","SUMLEV","NAME","CENSUS2020","POPESTIMATE042020","Error","PctError","AbsPctError"
"02","020","050","Anchorage Municipality",291247,287706,-3541,-1.21580651474522,1.21580651474522
"02","050","050","Bethel Census Area",18666,18487,-179,-0.958962820100718,0.958962820100718
"02","060","050","Bristol Bay Borough",844,823,-21,-2.48815165876777,2.48815165876777
"02","063","050","Chugach Census Area",7102,6464,-638,-8.98338496198254,8.98338496198254
"02","066","050","Copper River Census Area",2617,2921,304,11.616354604509,11.616354604509
"02","068","050","Denali Borough",1619,2099,480,29.6479308214948,29.6479308214948
"02","070","050","Dillingham Census Area",4857,4867,10,0.205888408482602,0.205888408482602
"02","090","050","Fairbanks North Star Borough",95655,96053,398,0.416078615859077,0.416078615859077
"02","100","050","Haines Borough",2080,2589,509,24.4711538461538,24.4711538461538
"02","105","050","Hoonah-Angoon Census Area",2365,2157,-208,-8.79492600422833,8.79492600422833
"02","110","050","Juneau City and Borough",32255,31924,-331,-1.02619748876143,1.02619748876143
"02","122","050","Kenai Peninsula Borough",58799,59300,501,0.852055307063045,0.852055307063045
"02","130","050","Ketchikan Gateway Borough",13948,13795,-153,-1.09693145970748,1.09693145970748
"02","150","050","Kodiak Island Borough",13101,13051,-50,-0.381650255705671,0.381650255705671
"02","158","050","Kusilvak Census Area",8368,8355,-13,-0.155353728489484,0.155353728489484
"02","164","050","Lake and Peninsula Borough",1476,1508,32,2.1680216802168,2.1680216802168
"02","170","050","Matanuska-Susitna Borough",107081,109794,2713,2.53359606279359,2.53359606279359
"02","180","050","Nome Census Area",10046,9941,-105,-1.04519211626518,1.04519211626518
"02","185","050","North Slope Borough",11031,9305,-1726,-15.646813525519,15.646813525519
"02","188","050","Northwest Arctic Borough",7793,7642,-151,-1.9376363403054,1.9376363403054
"02","195","050","Petersburg Borough",3398,3282,-116,-3.41377280753384,3.41377280753384
"02","198","050","Prince of Wales-Hyder Census Area",5753,6158,405,7.03980531896402,7.03980531896402
"02","220","050","Sitka City and Borough",8458,8413,-45,-0.532040671553559,0.532040671553559
"02","230","050","Skagway Municipality",1240,1173,-67,-5.40322580645161,5.40322580645161
"02","240","050","Southeast Fairbanks Census Area",6808,6906,98,1.43948296122209,1.43948296122209
"02","275","050","Wrangell City and Borough",2127,2498,371,17.4424071462153,17.4424071462153
"02","282","050","Yakutat City and Borough",662,609,-53,-8.00604229607251,8.00604229607251
"02","290","050","Yukon-Koyukuk Census Area",5343,5116,-227,-4.24854950402396,4.24854950402396
"04","001","050","Apache County",66021,71929,5908,8.94866784810893,8.94866784810893
"04","003","050","Cochise County",125447,127515,2068,1.64850494631199,1.64850494631199
"04","005","050","Coconino County",145101,142929,-2172,-1.49688837430479,1.49688837430479
"04","007","050","Gila County",53272,54299,1027,1.92784201832107,1.92784201832107
"04","009","050","Graham County",38533,39140,607,1.57527314250123,1.57527314250123
"04","011","050","Greenlee County",9563,9363,-200,-2.09139391404371,2.09139391404371
"04","012","050","La Paz County",16557,21444,4887,29.516216705925,29.516216705925
"04","013","050","Maricopa County",4420568,4560260,139692,3.16004640127694,3.16004640127694
"04","015","050","Mohave County",213267,216539,3272,1.53422704872296,1.53422704872296
"04","017","050","Navajo County",106717,111886,5169,4.84365190175886,4.84365190175886
"04","019","050","Pima County",1043433,1059005,15572,1.49238139870984,1.49238139870984
"04","021","050","Pinal County",425264,476349,51085,12.012538093984,12.012538093984
"04","023","050","Santa Cruz County",47669,46824,-845,-1.77264050011538,1.77264050011538
"04","025","050","Yavapai County",236209,239344,3135,1.3272144583822,1.3272144583822
"04","027","050","Yuma County",203881,217074,13193,6.47093157282925,6.47093157282925
"05","001","050","Arkansas County",17149,17436,287,1.67356697183509,1.67356697183509
"05","003","050","Ashley County",19062,19479,417,2.18759836323576,2.18759836323576
"05","005","050","Baxter County",41627,42249,622,1.49422249981983,1.49422249981983
"05","007","050","Benton County",284333,286700,2367,0.832474598446188,0.832474598446188
"05","009","050","Boone County",37373,37669,296,0.792015626254248,0.792015626254248
"05","011","050","Bradley County",10545,10691,146,1.38454243717402,1.38454243717402
"05","013","050","Calhoun County",4739,5126,387,8.16627980586622,8.16627980586622
"05","015","050","Carroll County",28260,28355,95,0.336164189667374,0.336164189667374
"05","017","050","Chicot County",10208,10008,-200,-1.95924764890282,1.95924764890282
"05","019","050","Clark County",21446,22196,750,3.49715564674065,3.49715564674065
"05","021","050","Clay County",14552,14419,-133,-0.913963716327652,0.913963716327652
"05","023","050","Cleburne County",24711,24987,276,1.11691149690421,1.11691149690421
"05","025","050","Cleveland County",7550,7964,414,5.48344370860927,5.48344370860927
"05","027","050","Columbia County",22801,23391,590,2.58760580676286,2.58760580676286
"05","029","050","Conway County",20715,21029,314,1.51580979966208,1.51580979966208
"05","031","050","Craighead County",111231,111931,700,0.629320962681267,0.629320962681267
"05","033","050","Crawford County",60133,63460,3327,5.53273576904528,5.53273576904528
"05","035","050","Crittenden County",48163,47736,-427,-0.886572680273239,0.886572680273239
"05","037","050","Cross County",16833,16204,-629,-3.73670765757738,3.73670765757738
"05","039","050","Dallas County",6482,6844,362,5.58469608145634,5.58469608145634
"05","041","050","Desha County",11395,11191,-204,-1.79025888547609,1.79025888547609
"05","043","050","Drew County",17350,18028,678,3.90778097982709,3.90778097982709
"05","045","050","Faulkner County",123498,126699,3201,2.59194480882281,2.59194480882281
"05","047","050","Franklin County",17097,17867,770,4.50371410188922,4.50371410188922
"05","049","050","Fulton County",12075,12436,361,2.98964803312629,2.98964803312629
"05","051","050","Garland County",100180,99786,-394,-0.393292074266321,0.393292074266321
"05","053","050","Grant County",17958,18421,463,2.57823811114823,2.57823811114823
"05","055","050","Greene County",45736,45563,-173,-0.378257827531922,0.378257827531922
"05","057","050","Hempstead County",20065,21356,1291,6.43408921006728,6.43408921006728
