GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,AIANHHRA,AIANHHTA,AITSA,ANRCA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,VTDA,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7Q001,H7Q002,H7Q003,H7Q004,H7Q005,H7Q006,H7Q007,H7Q008,H7Q009,H7Q010,H7Q011,H7Q012,H7Q013,H7Q014,H7Q015,H7Q016,H7Q017,H7Q018,H7Q019,H7Q020,H7Q021,H7Q022,H7Q023,H7Q024,H7Q025,H7Q026,H7Q027,H7Q028,H7Q029,H7Q030,H7Q031,H7Q032,H7Q033,H7Q034,H7Q035,H7Q036,H7Q037,H7Q038,H7Q039,H7Q040,H7Q041,H7Q042,H7Q043,H7Q044,H7Q045,H7Q046,H7Q047,H7Q048,H7Q049,H7Q050,H7Q051,H7Q052,H7Q053,H7Q054,H7Q055,H7Q056,H7Q057,H7Q058,H7Q059,H7Q060,H7Q061,H7Q062,H7Q063,H7Q064,H7Q065,H7Q066,H7Q067,H7Q068,H7Q069,H7Q070,H7Q071,2010 Census Redistricting Data tabulation downloaded from nhgis.org on 20220530
G2901490,2010,2,4,Missouri,29,Oregon County,149,,,,,,,,,,,,999,,,,,,,,,,,,Oregon County,,10881,10698,10511,15,126,32,4,10,183,183,11,142,11,1,11,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901510,2010,2,4,Missouri,29,Osage County,151,,,,,,,,,,,,999,,,,,,,,,,,,Osage County,,13878,13812,13718,28,32,14,7,13,66,65,20,31,7,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901530,2010,2,4,Missouri,29,Ozark County,153,,,,,,,,,,,,999,,,,,,,,,,,,Ozark County,,9723,9588,9468,11,70,13,0,26,135,131,15,89,10,3,10,1,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,
G2901550,2010,2,4,Missouri,29,Pemiscot County,155,,,,,,,,,,,,999,,,,,,,,,,,,Pemiscot County,,18296,18025,12882,4899,50,41,7,146,271,268,135,79,9,3,18,7,3,1,5,0,0,0,0,8,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901570,2010,2,4,Missouri,29,Perry County,157,,,,,,,,,,,,999,,,,,,,,,,,,Perry County,,18971,18801,18442,75,61,85,6,132,170,162,32,71,28,9,18,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,
G2901590,2010,2,4,Missouri,29,Pettis County,159,,,,,,,,,,,,999,,,,,,,,,,,,Pettis County,,42201,41250,37839,1264,177,253,31,1686,951,909,373,212,101,16,149,15,9,3,11,1,1,14,2,0,2,39,19,2,1,7,2,0,2,3,2,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901610,2010,2,4,Missouri,29,Phelps County,161,,,,,,,,,,,,999,,,,,,,,,,,,Phelps County,,45156,44185,41409,1008,251,1316,33,168,971,924,262,368,185,21,45,8,8,1,7,1,1,2,6,9,0,43,12,4,2,0,3,1,8,10,3,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
G2901630,2010,2,4,Missouri,29,Pike County,163,,,,,,,,,,,,999,,,,,,,,,,,,Pike County,,18516,18255,16698,1333,39,43,3,139,261,244,116,52,24,4,27,10,0,0,4,1,0,0,6,0,0,17,4,2,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901650,2010,2,4,Missouri,29,Platte County,165,,,,,,,,,,,,312,,,,,,,,,,,,Platte County,,89322,87128,77914,5270,449,2051,292,1152,2194,2027,599,503,478,53,226,34,31,8,35,10,2,6,10,29,3,155,57,24,4,5,24,3,4,15,2,4,2,0,4,0,0,0,1,0,0,6,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,
G2901670,2010,2,4,Missouri,29,Polk County,167,,,,,,,,,,,,999,,,,,,,,,,,,Polk County,,31137,30661,29946,235,197,105,9,169,476,448,89,250,49,9,38,3,0,1,3,0,1,1,3,1,0,27,16,0,0,0,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
