"STATE","COUNTY","SUMLEV","NAME","CENSUS2020","POPESTIMATE042020","HUBasedPop042020","Error","PctError","AbsPctError","Error_HUBasedPop","PctError_HUBasedPop","AbsPctError_HUBasedPop"
"01","001","050","Autauga County",58805,56130,59428,-2675,-4.54893291386787,4.54893291386787,623,1.05943372162231,1.05943372162231
"01","003","050","Baldwin County",231767,227989,213232,-3778,-1.63008538747967,1.63008538747967,-18535,-7.99725586472621,7.99725586472621
"01","005","050","Barbour County",25223,24652,28116,-571,-2.26380684296079,2.26380684296079,2893,11.4696903619712,11.4696903619712
"01","007","050","Bibb County",22293,22199,23784,-94,-0.421657022383708,0.421657022383708,1491,6.68819808908626,6.68819808908626
"01","009","050","Blount County",59134,57932,59033,-1202,-2.03267155950891,2.03267155950891,-101,-0.170798525383028,0.170798525383028
"01","011","050","Bullock County",10357,10050,11224,-307,-2.96417881625953,2.96417881625953,867,8.37114994689582,8.37114994689582
"01","013","050","Butler County",19051,19525,21379,474,2.48805836963939,2.48805836963939,2328,12.219830980001,12.219830980001
"01","015","050","Calhoun County",116441,113704,119964,-2737,-2.35054662876478,2.35054662876478,3523,3.02556659595847,3.02556659595847
"01","017","050","Chambers County",34772,32989,34257,-1783,-5.12768894512826,5.12768894512826,-515,-1.48107672840216,1.48107672840216
"01","019","050","Cherokee County",24971,26319,26744,1348,5.39826198390133,5.39826198390133,1773,7.10023627407793,7.10023627407793
"01","021","050","Chilton County",45014,44417,45584,-597,-1.32625405429422,1.32625405429422,570,1.26627271515529,1.26627271515529
"01","023","050","Choctaw County",12665,12469,14209,-196,-1.54757204895381,1.54757204895381,1544,12.1910777733912,12.1910777733912
"01","025","050","Clarke County",23087,23398,26310,311,1.34707844241348,1.34707844241348,3223,13.9602373630181,13.9602373630181
"01","027","050","Clay County",14236,13152,14094,-1084,-7.61449845462208,7.61449845462208,-142,-0.997471199775218,0.997471199775218
"01","029","050","Cleburne County",15056,14976,15371,-80,-0.53134962805526,0.53134962805526,315,2.09218916046759,2.09218916046759
"01","031","050","Coffee County",53465,53160,52884,-305,-0.570466660432058,0.570466660432058,-581,-1.08669222856074,1.08669222856074
"01","033","050","Colbert County",57227,55402,56980,-1825,-3.18905411781152,3.18905411781152,-247,-0.431614447725724,0.431614447725724
"01","035","050","Conecuh County",11597,11924,13504,327,2.81969474864189,2.81969474864189,1907,16.4439079072174,16.4439079072174
"01","037","050","Coosa County",10387,10681,12060,294,2.83046115336478,2.83046115336478,1673,16.1066718012901,16.1066718012901
"01","039","050","Covington County",37570,36993,38410,-577,-1.53579984029811,1.53579984029811,840,2.23582645727974,2.23582645727974
"01","041","050","Crenshaw County",13194,13713,14207,519,3.93360618462938,3.93360618462938,1013,7.67773230256177,7.67773230256177
"01","043","050","Cullman County",87866,84344,83507,-3522,-4.00837639132315,4.00837639132315,-4359,-4.96096328500216,4.96096328500216
"01","045","050","Dale County",49326,49076,51543,-250,-0.506832096663017,0.506832096663017,2217,4.49458703320764,4.49458703320764
"01","047","050","Dallas County",38462,36424,44355,-2038,-5.29873641516302,5.29873641516302,5893,15.3216161406063,15.3216161406063
"01","049","050","DeKalb County",71608,71664,72377,56,0.0782035526756787,0.0782035526756787,769,1.07390235727852,1.07390235727852
"01","051","050","Elmore County",87977,82048,83990,-5929,-6.73926139786535,6.73926139786535,-3987,-4.53186628323312,4.53186628323312
"01","053","050","Escambia County",36757,36361,38762,-396,-1.07734581168213,1.07734581168213,2005,5.45474331419866,5.45474331419866
"01","055","050","Etowah County",103436,102482,105433,-954,-0.922309447387757,0.922309447387757,1997,1.93066243860938,1.93066243860938
"01","057","050","Fayette County",16321,16246,17439,-75,-0.459530666013112,0.459530666013112,1118,6.85007046136879,6.85007046136879
"01","059","050","Franklin County",32113,31541,31950,-572,-1.78121010182792,1.78121010182792,-163,-0.507582598947467,0.507582598947467
"01","061","050","Geneva County",26659,26402,27408,-257,-0.96402715780787,0.96402715780787,749,2.80955774785251,2.80955774785251
"01","063","050","Greene County",7730,8034,9362,304,3.93272962483829,3.93272962483829,1632,21.1125485122898,21.1125485122898
"01","065","050","Hale County",14785,14673,16328,-112,-0.757524518092661,0.757524518092661,1543,10.4362529590801,10.4362529590801
"01","067","050","Henry County",17146,17203,18074,57,0.332439052840313,0.332439052840313,928,5.41234107080369,5.41234107080369
"01","069","050","Houston County",107202,106542,108396,-660,-0.615660155594112,0.615660155594112,1194,1.1137851905748,1.1137851905748
"01","071","050","Jackson County",52579,51642,54283,-937,-1.78208029821792,1.78208029821792,1704,3.24083759675916,3.24083759675916
"01","073","050","Jefferson County",674721,656529,679740,-18192,-2.69622555100553,2.69622555100553,5019,0.743863018936716,0.743863018936716
"01","075","050","Lamar County",13972,13790,14722,-182,-1.30260521042084,1.30260521042084,750,5.3678786143716,5.3678786143716
"01","077","050","Lauderdale County",93564,93331,96744,-233,-0.249027403702279,0.249027403702279,3180,3.39874310632294,3.39874310632294
"01","079","050","Lawrence County",33073,32863,34732,-210,-0.634959030024491,0.634959030024491,1659,5.01617633719348,5.01617633719348
"01","081","050","Lee County",174241,166460,163773,-7781,-4.46565389317095,4.46565389317095,-10468,-6.00777084612692,6.00777084612692
"01","083","050","Limestone County",103570,101485,87047,-2085,-2.01313121560297,2.01313121560297,-16523,-15.9534614270542,15.9534614270542
"01","085","050","Lowndes County",10311,9653,11649,-658,-6.38153428377461,6.38153428377461,1338,12.9764329356997,12.9764329356997
"01","087","050","Macon County",19532,17942,21647,-1590,-8.14048740528364,8.14048740528364,2115,10.8283841900471,10.8283841900471
"01","089","050","Madison County",388153,377894,385877,-10259,-2.643029939225,2.643029939225,-2276,-0.586366716217574,0.586366716217574
"01","091","050","Marengo County",19323,18793,21435,-530,-2.74284531387466,2.74284531387466,2112,10.9299798167986,10.9299798167986
"01","093","050","Marion County",29341,29749,30987,408,1.39054565284073,1.39054565284073,1646,5.6098974131761,5.6098974131761
"01","095","050","Marshall County",97612,96951,94181,-661,-0.677170839650863,0.677170839650863,-3431,-3.51493668811212,3.51493668811212
"01","097","050","Mobile County",414809,413119,429859,-1690,-0.407416425390963,0.407416425390963,15050,3.62817585925088,3.62817585925088
"01","099","050","Monroe County",19772,20520,23381,748,3.78312765527008,3.78312765527008,3609,18.2530851709488,18.2530851709488
"01","101","050","Montgomery County",228954,225131,238089,-3823,-1.66976772626816,1.66976772626816,9135,3.98988443093372,3.98988443093372
"01","103","050","Morgan County",123421,119862,122609,-3559,-2.88362596316672,2.88362596316672,-812,-0.65791072832014,0.65791072832014
"01","105","050","Perry County",8511,8754,10673,243,2.85512865703208,2.85512865703208,2162,25.4024203971331,25.4024203971331
"01","107","050","Pickens County",19123,19821,20167,698,3.65005490770277,3.65005490770277,1044,5.45939444647806,5.45939444647806
"01","109","050","Pike County",33009,32976,35329,-33,-0.0999727347087158,0.0999727347087158,2320,7.02838619770366,7.02838619770366
"01","111","050","Randolph County",21967,22882,23342,915,4.16533891746711,4.16533891746711,1375,6.25938908362544,6.25938908362544
"01","113","050","Russell County",59183,58196,60763,-987,-1.66770863254651,1.66770863254651,1580,2.66968555159421,2.66968555159421
"01","115","050","St. Clair County",91103,90488,88310,-615,-0.675060096813497,0.675060096813497,-2793,-3.06576073235788,3.06576073235788
"01","117","050","Shelby County",223024,220664,216814,-2360,-1.05818207905876,1.05818207905876,-6210,-2.78445369108257,2.78445369108257
"01","119","050","Sumter County",12345,12263,14126,-82,-0.664236533009316,0.664236533009316,1781,14.4268934791414,14.4268934791414
"01","121","050","Talladega County",82149,80075,84986,-2074,-2.52468076300381,2.52468076300381,2837,3.45348087012623,3.45348087012623
"01","123","050","Tallapoosa County",41311,40192,42895,-1119,-2.70872164798722,2.70872164798722,1584,3.83432983951006,3.83432983951006
"01","125","050","Tuscaloosa County",227036,210736,215294,-16300,-7.17947814443524,7.17947814443524,-11742,-5.17186701668458,5.17186701668458
"01","127","050","Walker County",65342,63277,68400,-2065,-3.16029506289982,3.16029506289982,3058,4.6799914297083,4.6799914297083
"01","129","050","Washington County",15388,16050,18103,662,4.30205354821939,4.30205354821939,2715,17.6436184039511,17.6436184039511
"01","131","050","Wilcox County",10600,10252,12116,-348,-3.28301886792453,3.28301886792453,1516,14.3018867924528,14.3018867924528
"01","133","050","Winston County",23540,23552,25059,12,0.0509770603228547,0.0509770603228547,1519,6.45284621920136,6.45284621920136
"02","013","050","Aleutians East Borough",3420,3419,3175,-1,-0.0292397660818713,0.0292397660818713,-245,-7.16374269005848,7.16374269005848
"02","016","050","Aleutians West Census Area",5232,5719,5676,487,9.30810397553517,9.30810397553517,444,8.48623853211009,8.48623853211009
"02","020","050","Anchorage Municipality",291247,287706,310337,-3541,-1.21580651474522,1.21580651474522,19090,6.55457395269308,6.55457395269308
"02","050","050","Bethel Census Area",18666,18487,17372,-179,-0.958962820100718,0.958962820100718,-1294,-6.9323904425158,6.9323904425158
"02","060","050","Bristol Bay Borough",844,823,1012,-21,-2.48815165876777,2.48815165876777,168,19.9052132701422,19.9052132701422
"02","063","050","Chugach Census Area",7102,6464,6908,-638,-8.98338496198254,8.98338496198254,-194,-2.73162489439594,2.73162489439594
"02","066","050","Copper River Census Area",2617,2921,2951,304,11.616354604509,11.616354604509,334,12.7627053878487,12.7627053878487
"02","068","050","Denali Borough",1619,2099,1822,480,29.6479308214948,29.6479308214948,203,12.5386040765905,12.5386040765905
"02","070","050","Dillingham Census Area",4857,4867,4907,10,0.205888408482602,0.205888408482602,50,1.02944204241301,1.02944204241301
"02","090","050","Fairbanks North Star Borough",95655,96053,103480,398,0.416078615859077,0.416078615859077,7825,8.18044012335999,8.18044012335999
"02","100","050","Haines Borough",2080,2589,2603,509,24.4711538461538,24.4711538461538,523,25.1442307692308,25.1442307692308
"02","105","050","Hoonah-Angoon Census Area",2365,2157,2126,-208,-8.79492600422833,8.79492600422833,-239,-10.1057082452431,10.1057082452431
"02","110","050","Juneau City and Borough",32255,31924,33501,-331,-1.02619748876143,1.02619748876143,1246,3.86296698186328,3.86296698186328
"02","122","050","Kenai Peninsula Borough",58799,59300,57106,501,0.852055307063045,0.852055307063045,-1693,-2.87930066837871,2.87930066837871
"02","130","050","Ketchikan Gateway Borough",13948,13795,14203,-153,-1.09693145970748,1.09693145970748,255,1.82821909951247,1.82821909951247
"02","150","050","Kodiak Island Borough",13101,13051,14163,-50,-0.381650255705671,0.381650255705671,1062,8.10625143118846,8.10625143118846
"02","158","050","Kusilvak Census Area",8368,8355,7644,-13,-0.155353728489484,0.155353728489484,-724,-8.65200764818356,8.65200764818356
"02","164","050","Lake and Peninsula Borough",1476,1508,1639,32,2.1680216802168,2.1680216802168,163,11.0433604336043,11.0433604336043
"02","170","050","Matanuska-Susitna Borough",107081,109794,90848,2713,2.53359606279359,2.53359606279359,-16233,-15.1595521147543,15.1595521147543
"02","180","050","Nome Census Area",10046,9941,9717,-105,-1.04519211626518,1.04519211626518,-329,-3.2749352976309,3.2749352976309
"02","185","050","North Slope Borough",11031,9305,9487,-1726,-15.646813525519,15.646813525519,-1544,-13.9969177771734,13.9969177771734
"02","188","050","Northwest Arctic Borough",7793,7642,7673,-151,-1.9376363403054,1.9376363403054,-120,-1.53984344924933,1.53984344924933
"02","195","050","Petersburg Borough",3398,3282,3353,-116,-3.41377280753384,3.41377280753384,-45,-1.32430841671572,1.32430841671572
